gene_symbol,mrna_hl_h
BABAM1,24.0
BABAM2,13.7142857142857
BACC1,19.3170731707317
BACE1,11.7575757575758
BACE2,9.53846153846154
BACH1,2.77777777777778
BAD,10.2
BAG1,5.66666666666667
BAG2,2.85714285714286
BAG3,2.98507462686567
BAG4,2.85714285714286
BAG5,2.38095238095238
BAHD1,2.73972602739726
BAIAP2,3.50877192982456
BAIAP2L1,3.84615384615385
BAIAP3,4.44444444444444
BAK1,3.33333333333333
BAMBI,2.04081632653061
BANF1,14.88
BANP,2.5974025974026
BAP1,7.55555555555556
BARD1,2.66666666666667
BARX1,9.42857142857143
BASP1,5.69230769230769
BATF3,5.33333333333333
BAX,8.23529411764706
BAZ1A,3.77358490566038
BAZ1B,5.26315789473684
BAZ2A,5.71428571428571
BAZ2B,2.73972602739726
BBC3,2.38095238095238
BBLN,15.0
BBOF1,24.0
BBS1,5.5
BBS2,10.24
BBS4,9.48148148148148
BBS7,10.0
BBS9,9.54838709677419
BBX,3.57142857142857
BCAM,24.0
BCAN,2.77777777777778
BCAP29,3.57142857142857
BCAP31,24.0
BCAR1,3.2258064516129
BCAR3,2.7027027027027
BCAS2,6.0
BCAS3,5.33333333333333
BCAS4,6.8
BCAT2,13.3636363636364
BCCIP,8.0
BCDIN3D,2.12765957446809
BCKDHA,19.5
BCKDHB,3.44827586206897
BCKDK,10.4347826086957
BCL10,2.29885057471264
BCL2,2.73972602739726
BCL2L1,3.2258064516129
BCL2L11,2.32558139534884
BCL2L12,3.84615384615385
BCL2L13,4.0
BCL2L14,3.84615384615385
BCL2L2,6.18181818181818
BCL3,2.53164556962025
BCL6,2.32558139534884
BCL6B,2.40963855421687
BCL7A,2.46913580246914
BCL7B,5.29032258064516
BCL7C,24.0
BCL9,3.03030303030303
BCL9L,3.50877192982456
BCLAF1,9.69230769230769
BCOR,3.125
BCORL1,3.125
BCR,4.95238095238095
BCS1L,10.6666666666667
BDH1,3.38983050847458
BDH2,18.9230769230769
BDNF,2.4390243902439
BECN1,8.66666666666667
BEGAIN,3.03030303030303
BEND6,15.5
BEST1,24.0
BET1,4.2962962962963
BET1L,3.07692307692308
BEX3,24.0
BFAR,3.27868852459016
BGLAP,2.1978021978022
BHLHA15,2.38095238095238
BHLHE40,2.22222222222222
BICD1,2.8169014084507
BICD2,3.63636363636364
BICDL1,3.38983050847458
BICRA,3.7037037037037
BICRAL,3.03030303030303
BID,8.22222222222222
BIN1,6.13333333333333
